ID,S,H,Rao,season,area,habitat
C111_w,8,1.110064555,0.013211396,w,Tis,crk
C112_w,6,0.816178578,0.008003652,w,Tis,crk
C113_w,10,1.473731574,0.025184207,w,Tis,crk
C121_w,5,1.306646999,0.048301755,w,Tis,mng
C122_w,9,1.747249005,0.03846483,w,Tis,mng
C123_w,8,1.940843033,0.050699561,w,Tis,mng
C131_w,2,0.693147181,0.066605141,w,Tis,bch
C133_w,4,0.514096697,0.012459934,w,Tis,bch
C211_w,6,1.211849082,0.029680105,w,Tis,crk
C212_w,7,1.906154747,0.091959451,w,Tis,crk
C213_w,4,1.193549604,0.036709343,w,Tis,crk
C221_w,4,0.416201157,0.017526108,w,Tis,mng
C222_w,3,0.63903186,0.036400496,w,Tis,mng
C223_w,5,0.997614864,0.043858654,w,Tis,mng
C233_w,3,1.054920168,0.063938762,w,Tis,bch
C311_w,4,0.815444009,0.013189928,w,Tis,crk
C312_w,4,0.499744584,0.000867096,w,Tis,crk
C313_w,10,0.915818703,0.012510802,w,Tis,crk
C321_w,5,1.048147232,0.042754566,w,Tis,mng
C323_w,7,1.649877747,0.05581831,w,Tis,mng
C411_w,6,1.473502385,0.030858873,w,Tis,crk
C412_w,3,0.79631164,0.005233801,w,Tis,crk
C413_w,6,1.409508104,0.020023942,w,Tis,crk
C421_w,3,0.600166073,0.015946206,w,Tis,mng
C422_w,2,0.693147181,0,w,Tis,mng
C423_w,3,0.463413559,0.01657728,w,Tis,mng
C511_w,7,1.714087541,0.082445203,w,Gw,crk
C512_w,3,1.098612289,0.052886553,w,Gw,crk
C513_w,5,1.445185879,0.087981486,w,Gw,crk
C521_w,6,1.330660093,0.039501637,w,Gw,mng
C522_w,5,1.560710409,0.036116017,w,Gw,mng
C523_w,5,1.609437912,0.071956933,w,Gw,mng
C532_w,2,0.500402424,0.017734205,w,Gw,bch
C533_w,4,1.214889654,0.021028116,w,Gw,bch
C612_w,7,1.599710291,0.134404261,w,Gw,crk
C613_w,9,2.002883041,0.11328537,w,Gw,crk
C621_w,8,1.923065784,0.04370835,w,Gw,mng
C622_w,6,1.697733591,0.042343618,w,Gw,mng
C623_w,5,1.427061043,0.110993225,w,Gw,mng
C711_w,4,1.213007566,0.134592156,w,Gw,crk
C712_w,4,0.779225952,0.044461545,w,Gw,crk
C713_w,3,0.798204296,0.023748337,w,Gw,crk
C721_w,5,1.559581156,0.108173484,w,Gw,mng
C722_w,6,1.435989829,0.054455654,w,Gw,mng
C723_w,5,1.414279065,0.051929062,w,Gw,mng
C811_w,4,0.836988217,0.076491333,w,Gw,crk
C812_w,4,1.329661349,0.127361982,w,Gw,crk
C813_w,6,1.351039416,0.120051229,w,Gw,crk
C821_w,13,2.124330642,0.068697633,w,Gw,mng
C822_w,9,1.86407756,0.122826346,w,Gw,mng
C823_w,11,2.126971406,0.097382175,w,Gw,mng
C311_s,6,0.588231527,0.002026255,s,Tis,crk
C312_s,8,0.850028399,0.002856176,s,Tis,crk
C313_s,6,0.884499463,0.010853573,s,Tis,crk
C321_s,4,0.992106828,0.082699064,s,Tis,mng
C322_s,5,0.911679781,0.055554749,s,Tis,mng
C323_s,7,1.509755309,0.081914723,s,Tis,mng
C331_s,5,1.486895227,0.052867062,s,Tis,bch
C332_s,8,1.801892401,0.037648465,s,Tis,bch
C333_s,7,1.660995815,0.027977907,s,Tis,bch
C411_s,8,1.345802654,0.007396162,s,Tis,crk
C412_s,11,1.016075371,0.005903513,s,Tis,crk
C413_s,10,0.488273973,0.004021037,s,Tis,crk
C421_s,8,1.176616347,0.058901695,s,Tis,mng
C422_s,11,1.483993763,0.077805745,s,Tis,mng
C423_s,12,1.282382751,0.053213439,s,Tis,mng
C431_s,8,1.396817369,0.037128794,s,Tis,bch
C432_s,5,1.234111343,0.042204687,s,Tis,bch
C433_s,6,1.144648905,0.045395545,s,Tis,bch
C511_s,13,2.255588635,0.117243788,s,Gw,crk
C512_s,14,2.328034301,0.118023708,s,Gw,crk
C513_s,16,2.437484347,0.111008614,s,Gw,crk
C521_s,8,1.881411438,0.064039801,s,Gw,mng
C522_s,7,1.674990013,0.067043051,s,Gw,mng
C523_s,9,1.915403055,0.069610436,s,Gw,mng
C532_s,2,0.206192051,0.027585655,s,Gw,bch
C533_s,2,0.562335145,0.032079691,s,Gw,bch
C611_s,11,1.623913246,0.093826429,s,Gw,crk
C612_s,12,2.131248208,0.087592731,s,Gw,crk
C613_s,10,1.880210047,0.111036982,s,Gw,crk
C621_s,9,1.897924667,0.093912357,s,Gw,mng
C622_s,9,1.928809007,0.105169442,s,Gw,mng
C623_s,8,1.793094013,0.06536237,s,Gw,mng
